Title,DOI,Article Type?,Year,Courses:,keyword themes,Inclusive Teaching  included?,Inclusive Teaching Description,Word Count of Inclusive Teaching?,Attended Workshop?,article_num,Group Year
The Three Sisters of Agriculture: An Active Learning Activity on Symbiotic Nitrogen Fixation,https://doi.org/10.24918/cs.2022.40,Lesson,2022,Microbiology,"Symbiosis, Plant microbiome, Nitrogen fixation, Nutritional content of food, Electron flow, Society impact of microorganisms",Yes,"the 400/600 level bacterial physiology course is required for microbiology majors but also enrolls students from other disciplines, somimes even including those in engineering or medical programs. the academic level is most often junior/senior undergraduate level or first/second year graduate level students that are also diverse in other respects, including but not limited to gender, race, and nationality. many use english as a second (possibly third) language. to ensure that all students are engaged and participate in learning, this stem learning activity has an intrinsic cultural component, the three sisters concept, developed by indigenous populations. the book braiding swegrass by r.w. kimmerer, a member of the citizen potawatomi nation, includes this and other indigenous lectures on plants for foods and medicine (13). the inclusion of an indigenous concept into a stem science course communicates to students from underrepresented groups that different cultures are valued. this is especially important since evidence is growing that the achievement gap bween underrepresented students and white students is due to a sense of belonging (or lack thereof) and not an understanding of the learning material (14).

along with this deliberate ‘pedagogical’ choice to include diverse cultures into a stem science classroom, another strategy promoted by dewsbury and brame for inclusive teaching is ‘empathy’ (15). i have always found it helpful to connect to students early in the course by showing up before class and engaging them in discussion on course and other topics.
",237,No,218,2019 - 2022
Gratitude Interventions in a Biology Course to Foster Student Persistence and Success,https://doi.org/10.24918/cs.2022.41,Teaching Tools and Strategies,2022,"Introduction Biology, Proffessional Developemnt and Career Planning, Science Processs Skills","mental health, gratitude, positive psychology, degree commitment",Yes,"gratitude interventions are accessible to all students, including those with disabilities. to me universal design for learning (udl) requirements to create learning experiences for the widest audience possible (55), the prompts for the two gratitude interventions are distributed through the canvas learning management system, which is compatible with multiple devices, including computers, smart phones, and tabls (56). to allow alternatives for visual information, the text portion of the interventions is high contrast to facilitate use of screen readers by visually impaired students, and the text portion of the interventions also contains properly organized heading structures. students can also elect to have printed versions of the online gratitude interventions if they so choose. gratitude interventions also acknowledge the value of multicultural diversity in the classroom (57) by allowing each student to individually reflect on their own background, identity, and experience when choosing 1) what they are grateful for that week, and 2) who to write three lters of gratitude to.",159,No,217,2019 - 2022
A Muscular Dystrophy Case Study Illustrating the Phenotypic Effects of Mutation,https://doi.org/10.24918/cs.2022.42,Lesson,2022,"Developmental Biology, Genetics","mutation, Protein Structure, ethics, central dogma, human disease",Yes,"quite often, students think of scientists as “other people.” in this lesson, they learn about a real patient, jill viles, who searches for the mutation that underlies her own muscular dystrophy. jill does not have formal scientific or medical training, and not only does she successfully dermine the genic cause of her own disease, but she also correctly hypothesizes that an olympic athle, priscilla lopes-schliep, has a mutation in the same gene (6). jill’s journey includes interactions with doctors and researchers, and demonstrates that anybody can be a scientist if they question and pursue information. in addition, diverse students learn well from illustrative case studies (8) and we find that students from all backgrounds are acutely interested in human diseases. to expand the hical discussion beyond muscular dystrophy, we included optional debate questions that challenge students to think about the definition of a disability and how disabilities can build communities. engaging students in large group discussion and small group work is extremely beneficial; it increases student achievement and persistence, develops communication and teamwork skills, and generates more favorable attitudes toward science (reviewed in 10). students perceive that group work facilitates learning and strengthens the link bween empirical and theorical learning (11). groups of students that are hnically diverse, mixed gender, and include students with different approaches to problem solving collaborate bter than more homogenous groups (reviewed in 10).
",228,No,216,2019 - 2022
Garden Variety Mutations: Using Primary Data to Understand the Central Dogma in Large-Lecture Introductory Biology,https://doi.org/10.24918/cs.2022.43,Lesson,2022,"Biochemistry and Molecular Biology, Genetics, Introductory Biology
","mutation, transcription, gene expression, central dogma, translation, gelelectrophoresis, Genotype/Phenotype",Yes,"we designed this activity to encourage more students to bring different perspectives to scientific data and discussion. students formed small groups, leveraging different experiences and backgrounds to interpr data and evaluate hypotheses. the variy of formative assessments and whole-class discussions throughout the argumentation module allowed students to express diverse ways of knowing, and by inviting groups to contribute to a whole-class model of the phenomena, the instructor highlighted more voices and gave credibility to more ideas beyond their own. the entire activity moved students away from a strictly traditional lecture style of class and into a group effort where more students are encouraged to contribute.
",105,No,215,2019 - 2022
Online Information Literacy: Applying the CRAAP Test to Vaccine (Mis)information,https://doi.org/10.24918/cs.2022.44,Lesson,2022,Science Process Skills,"Vaccines, immunity, reliability",Yes,"there are several ways that this lesson incorporates principles of inclusive teaching. in the individual portion of the activity, students select which online resources they work with. incorporating student choice is part of a learner-centered approach that promotes student engagement (26). the lesson also includes different types of engagement by incorporating individual and group components. students prepare for group work by compling individual work at their own pace, which promotes equitable participation during the group work (27). the group work features several cooperative learning characteristics meant to promote inclusive student-student dynamics, including the use of assigned group roles, a specific task for the group to comple, and a structured agenda with space for all students to present their ideas (24). providing students with clear assessment criteria in the form of a rubric before they begin working on the assignment also improves the inclusivity of this lesson. research shows that increasing transparency in college courses benefits all students, and in particular, underserved students (28).",163,Yes,214,2019 - 2022
Video Making Tips for Laboratory Instructors,https://doi.org/10.24918/cs.2022.45,Teaching Tools and Strategies,2022,"Introduction Biology, Microbiology","microscopy, pipetting, Lab Equipment",Yes,"videos can support inclusive teaching by allowing students to view material at their own pace. a video can be paused, slowed, zoomed in, or sped up depending on the learning personality of the student. videos allow all students to see the technique from a close up angle that is not possible in a classroom sting. in fact, a video allows students to see more dail then they would in a classroom. also, closed captions or a transcript can be added to videos to increase accessibility. having former students serve as demonstrators in videos can support diversity and inclusion by using diverse demonstrators. finally, videos allow for increased consistency across multiple-section courses.",111,No,213,2019 - 2022
Pick Your Poison: A Semester-Long Case Study for Undergraduate Toxicology,https://doi.org/10.24918/cs.2022.46,Lesson,2022,Toxicology,"risk assessment, toxicology, Pharmacology, regulations, dose response, ADME",Yes,"this lesson emphasizes application of classroom content to a toxicant that students are unfamiliar with, rather than memorization of content. it provides an alternative assessment to high-stakes exams by relying more on research and application and less on rote memorization. it is also composed of discre modules and multiple low-stakes assessments that allow for iterative improvement rather than a single large assessment at the end of the project. finally, the use of peer review in a low-stakes environment has been shown to reinforce a sense of scientific identity in all students (13).",92,Yes,212,2019 - 2022
Film as a Powerful Tool for Increasing Awareness of the Importance of Belonging in STEM,https://doi.org/10.24918/cs.2022.47,Lesson,2022,Professional Development and Career Planning,"stem, inclusion, film, belonging",Yes,"the topic of the professional development sessions, sense of belonging for people of color in stem fields, is inherently focused on inclusion. additionally, during the sessions, participants are encouraged to reflect upon their own experiences with belonging, and how they can foster a sense of belonging for the people of color with whom they interact.",55,No,211,2019 - 2022
Three Research-Based Quantitative Reasoning Modules for Introductory Organismal Biology Laboratories,https://doi.org/10.24918/cs.2022.48,Lesson,2022,"Introduction Biology, Science Process Skills","allometry, plants, Anatomy, transpiration, dimorphism, invertebrate biology, arthropods, platyhelminths",Yes,"the modules fundamentally explore the theme of biodiversity. the central discussions revolve around why diversity is important at the intra-individual (module 1), intraspecific (modules 2 and 3), and interspecific (modules 2 and 3) levels. examples used in class should generalize the material to other problems and systems, specifically those related to human health because many science majors are interested in careers in health care. for example, the paired study design used in module 1 should be related to clinical trials in which data are collected before and after a treatment is administered to a patient. examples of allomry, the focus of module 2, can refer to the hypo-allomric growth of the brain and the heart in humans (22). finally, module 3 requires students to bring their own leaves to the lab for analysis, thus providing students the opportunity to explore nature in their surrounding environments, such as their homes or neighborhoods.

students work in groups of 2–4 students so that individuals with restricted motor skills or with vision impairment can delegate microscope and caliper work to students without these limitations. formative assessments include low-stakes quizzes (to assess preparation for class) and workshes that can be compled collaboratively during class period. students are required to bring a laptop computer to laboratories. at pace university, laptop computers can be borrowed from the campus library, which might also be an option at other institutions. when access to laptop computers is limited, students can work in groups of 2 to 4 students for data entry and analysis.

",252,Yes,210,2019 - 2022
Understanding Host-Pathogen Interactions With the Use of Galleria mellonella,https://doi.org/10.24918/cs.2021.1,Lesson,2021,"Immunology, Microbiology","innate immunity, bacterial pathogenesis, Host-pathogen interactions, Galleria mellonella, Virulence",Yes,"all students can benefit from this lesson as microorganisms impact human life in a variy of ways. the principles behind animal models and their use is an important lesson that students from various backgrounds can benefit from, especially due to its hical implications. this exercise gives students the opportunity to share their thoughts and ideas about animal research with their peers. the format of the exercises encourages students to work as a team and share ideas with their peers thus being exposed to a variy of ideas and perspectives. this lesson allows students to experience working with animal models to study bacterial virulence. the low cost of the materials required for the exercise makes it readily accessible for resource-limited institutions. in addition, the nature of the exercise and its adaptability allows for the instructor to adapt and modify the exercise based on student learner's needs and the goals of the specific course where the lesson is being used.
",158,No,209,2019 - 2022
"Generating Biological Hypotheses in a ""Course-based Undergraduate Research Experience""(CURE) Course",https://doi.org/10.24918/cs.2021.3,Lesson,2021,Science Process Skills,"scientific method, HPT axis, Neural stem cells",Yes,"listed here are the action items for creating an inclusive classroom and lesson:

students create their own name cards, in which they can include their pronouns. since there is a lot of discussion in the lesson, it is necessary to know how to address students. all of this information is not always populated in the class roster, so it is important to ask!
although the lesson is designed for juniors/seniors, it is advisable to review the fundamental concepts of the scientific mhod and how to read primary literature to ensure that all students are on the same page.
all lesson-related materials are posted on the course website, and handouts are provided in class. the classroom is also equipped with computers and printers. this provides students easy access to learning material.",127,Yes,208,2019 - 2022
Engaging Undergraduates in Mechanisms of Tubular Reabsorption and Secretion in the Mammalian Kidney,https://doi.org/10.24918/cs.2021.4,Lesson,2021,Anatomy-Physiology,"Osmosis, Active transport, Mass flow, Renal reabsorption, Renal secretion, Transport across membranes",Yes,"this lesson is highly structured and involves active learning, which promotes participation by more students, including underrepresented minorities and first-generation students (13,14). students are given qui time to work on the problems before each class discussion, which invites more students to form thoughts and participate (15). since there are multiple opportunities for groups to participate in the class discussion, the instructor can devise a way to hear from all/most groups (for example, assign specific groups to respond to each question in the exercises). students work in small groups of 2-3. the instructor may also form the work groups to increase the mixing of students outside their typical social circles.
",109,No,207,2019 - 2022
Exploring Primary Scientific Literature through the Lens of the 5 Core Concepts of Biology,https://doi.org/10.24918/cs.2021.5,Lesson,2021,Science Process Skills,"5 core concepts, connecting facts to principles, reading primary scientific literature",Yes,"reading carefully selected psl has the potential to engage many individuals, since questions about authentic scientific studies are typically very interesting to most students. this lesson seeks to create a learning environment where students' academic, social, and cultural backgrounds can be an ass to their learning. because there can be a variy of responses in each matrix box, all student viewpoints and conclusions can be included in class discussions.

the majority of class discussions occurred in small groups, often with the same students, resulting in students becoming comfortable enough to share their answers freely. additionally, because there was more than one ""correct"" answer for each matrix table, it became easier for students to share their answers without the fear of being wrong. however, for the larger group discussions, we asked for volunteers and did not force students to address the class if they did not volunteer.
",145,No,206,2019 - 2022
Exploring the Lytic and Lysogenic Life Cycles of Bacteriophages,https://doi.org/10.24918/cs.2021.6,Lesson,2021,Microbiology,"bacteriophages, Lysogenic cycle, Lysogeny, Lytic cycle",Yes,"this lesson was designed to involve all students in the learning process. thus, the lesson includes several strategies, including think-pair-share, small group discussions, and a strip sequence, which allows for students who favor different learning approaches to engage with the concepts and topics. at the beginning of class, instructors can explicitly state to the class that the intention of the varied learning strategies is to promote an equitable and accessible classroom for all students (15). this promotes inclusive learning as students feel less targed during random call or when students are asked to contribute during class discussion. i have found that a high level of transparency in my teaching approaches is well received by students and it encourages students who are more accustomed to traditional lecture classes open up to active learning styles. though there is a short lecture within this lesson, it is designed to be concise and engaging as intellectual engagement is minimally elicited during traditional in-class lectures (16).

students work togher in small groups multiple times during this lesson as it cultivates social learning and peer education. as small groups have been shown to support learning gains (17) and support students of various disciplines and levels (18,19), they are heavily utilized in my classes to create a more inclusive and inviting environment. the groups are intentionally assigned by the instructor to promote inclusivity and allow for students of varying achievement levels to collaborate and learn from one another. this lesson employs think-pair-share, which allows for more meaningful class discussions as students take the time to critically think about a topic and exchange ideas with classmates before whole class discussion. further, students write down their thoughts before class discussion, which eases anxiies for students who are uncomfortable with public speaking.

the use of technology is generally promoted in this course as assignments can be compled and submitted online, thus decreasing the environmental burdens associated with paper. however, as some students may not have a laptop or other classroom-friendly intern-connected device, instructors should print out a few copies of the assignments to accommodate all students. students can submit their final work by emailing the instructor a photo of their compled assignment.
",360,No,205,2019 - 2022
Biodiversity Show and Tell: An Accessible Activity to Encourage Students to Explore the Tree of Life,https://doi.org/10.24918/cs.2021.8,Lesson,2021,"Ecology, Evolution, Introductory Biology","Evolution, ecology, Biodiversity",Yes,"after compling their research, workshes, and slides independently, students come togher for a 50-minute discussion section to share the highlights of their species. this discussion is one of the most inclusive moments in the entire course because it brings togher the perspectives of over 30 students instead of the perspective of one instructor. many students choose to share species that interest them personally, so the presentations offer an opportunity for self-expression.

in our experience, the activity appears to foster a sense of community among the students as they learn about each other's interests and have fun togher. however, giving the presentation can be intimidating for some students, especially those with anxiy or for whom english is a second language. for that reason, we structured the activity to support those students. when i (stockwell) give the ias directions on how to run the in-person version of the discussion section, i emphasize that they should l students present while sitting at their desks if they prefer. students also have their workshes in front of them and can read from them if they feel nervous about speaking spontaneously. the ia is in charge of projecting the students' slides so the students do not need to worry about the technology. the presentations are graded only on complion. with all those supports in place, the presentations represent a low-stakes way for students to practice the important skill of speaking in front of a group. if you have students with such severe anxiy that they cannot present even under these circumstances, you could offer them the opportunity to prerecord a presentation, as described in the online version of the activity.

the activity asks students to speak, listen, look, and (in the workshe) write, thus offering many ways for students to engage their senses and demonstrate what they can do. students g to hear about biodiversity from over 30 different perspectives, in over 30 different voices, and each student participates equally in the lesson. the result is a multifaced, inclusive ""nature documentary"" created collaboratively by and for the students themselves.",341,No,204,2019 - 2022
Adaptation and Facilitation of Small Group Activities in an Online Introductory Biology Class,https://doi.org/10.24918/cs.2021.9,Teaching Tools and Strategies,2021,Introduction Biology,"Cellular communication, Neuronal function, Neuronal structure",Yes,"use of specific roles during small group activities provides clear expectations for and more evenly divides labor among students, allowing all students the opportunity to participate (17). in addition, use of small group activities in synchronous class sessions increases class structure. past work by eddie and hogan (21) has revealed increasing class structure greatly reduces achievement gaps bween black and white students and first-generation and continuing-generation students. changing screen names in videoconferencing software to reflect pronouns acknowledges diversity in the classroom and normalizes the practice of sharing pronouns which may help make the synchronous classroom environment a more welcoming place. past work by cooper and brownell (22) has revealed lgbtqia students do not perceive the biology classroom community as a welcoming space for their identities.",125,No,203,2019 - 2022
A Quick and Simple Natural Selection Role Play,https://doi.org/10.24918/cs.2021.10,Lesson,2021,Evolution,"Evolution, fitness, Natural Selection, heritability",Yes,"this activity engages the large majority of the class, if not the entire class, as the class itself becomes the natural population under selection. this builds community and engages all students, even those who normally don't volunteer, in a simple, low stakes activity. the minute paper reflection provides opportunity to every student to engage independently with the content. the structure, a mixture of large and individual work engaging the entire class is designed to include all of the students.
",79,No,202,2019 - 2022
Ain't No Mountain Pine Enough: A Case Study of How Mountain Pine Beetles are Affecting Ecosystem Processes,https://doi.org/10.24918/cs.2021.11,Lesson,2021,Ecology,"population biology, carbon cycling, Species-habitat interactions",Yes,"we included ample time for complion of workshes, in and out of class. by pairing students togher, we hoped to decrease student anxiy while learning to code in r. we encouraged collaboration so that students may assist each other with data analysis and interpration, explain their thinking, and modify their understanding based on peer feedback – this also worked with screensharing in an online teaching format. grading rubrics emphasized general content knowledge and critical thinking skills over rote memorization and helped to ensure impartial grading. during the coding portion of the case study, we provided laptops for students who needed them.
",101,No,201,2019 - 2022
Developing Data Literacy Skills and Connecting the Student Experience in the Classroom to the Community Through Biodiversity Projects,https://doi.org/10.24918/cs.2021.13,Lesson,2021,Ecology,"species richness, Biodiversity, disturbance, Habitat range, Population abundance",Yes,"this lesson strives to address inclusive teaching by shifting the learning environment to a computer lab rather than requiring students to have personal computers already loaded with the required programs (a web browser and data management software such as ms office excel or google shes). contact the department's instructional technology specialist for any recommendations for specific accommodations available in the computer labs. if personal computers are available or preferred, an intern connection and any program that manages data through spreadshes will work to comple the lesson.

access to a device that can take a photograph outside is a key component of this lesson. ideally, a mobile device (such as a smartphone or tabl with satellite connection) with the inaturalist application would be used. accounts are free to create on inaturalist. if mobile devices are prohibited or otherwise unavailable, observations may be made with digital cameras and uploaded through the inaturalist website. some colleges have cameras that can be loaned to the students, so it may be useful to check with departments whher these resources are available. the one important difference when using a digital camera to make observations is that students must record where they were when the photo was taken so that the observations can have associated geolocations (a process that is automatic with a mobile phone). a simplified data she can be created to encourage students to record this information while they are making observations (columns would include time of observation, photo file number, and location information). students could also be encouraged to me up with a partner for making the observations, which will reduce the burden for every student to have a device as well as promote collaboration and safy for work outside of class. instructors can submit their students' observations as a compiled effort to maintain student anonymity and fulfill the goal of contributing to a public biodiversity database.

schools may have restrictions on what applications and data students are allowed to share with respect to their coursework. if there are concerns, particularly about location sharing, there are some alternatives that allow students to participate without revealing identifying information. for example, the instructor might choose to create a single class inaturalist account with their email address; the account would then be controlled by the instructor, but all students would be granted access to contribute observations. instructors should monitor the account and change passwords if improper behavior is observed. more information on this adjustment can be found in the inaturalist teacher's guide (26).

if possible, we encourage students to create their own accounts on inaturalist so they may continue to be lifelong observers of nature and be more mindful of the natural world around them. instructors should make no assessment-related comments on student observations within the inaturalist platform, as that may be a violation of ferpa regulations. students will always have the option of deling their inaturalist accounts (and all of the data they created) after the lesson is comple, if they choose to do so.

utilizing data collected by local and global communities demonstrates to students the scale and scope of who participates and contributes to scientific data. reciprocally, the students' efforts to record their observations extends beyond the classroom and into the broader community that can learn from and use their data for other projects. this activity also illustrates cultural diversity across neighborhoods, as different communities may support or cultivate different habitat types or species that influence the local diversity. students collect independent data where they are or want to go; thus, the data represents the local areas and communities that students identify most with, rather than just the typical parks or recreation areas. overall, the students are provided the opportunity to experience how science is accomplished through diverse participants and how through their contributions of observations, they become a part of that community of scientists.
",637,Yes,200,2019 - 2022
Preparing Student Study Guides through Peer Collaboration in the Technological Era,https://doi.org/10.24918/cs.2021.14,Teaching Tools and Strategies,2021,"Introduction Biology, Proffessional Developemnt and Career Planning, Science Processs Skills","active learning, Discussion, Study Skills",Yes,"in my model, the study guide was used as a supplemental resource to textbooks and lecture. textbooks are the most commonly used resources for learning in classrooms but are often divisive for students who are not strong readers (1). the same can be said for review guides that are produced by instructors to be read and reviewed by students independently. previous studies have shown that supplementation of text with study guides provides benefits both for students with learning disabilities and reading and language deficits, equalizing student achievement in the classroom (12). additionally, i have anecdotally found that while minoritized students, introverted students, and students with accommodations are less likely to speak up in class, those groups participated well in the discussion-based study guide. this type of assignment gives the opportunities to ask anonymous questions without the influences of social stigmas or fear of public speaking, and allows students to perform at their own pace. this may create the opportunity for equal participation from all students in a low-pressure environment.",169,Yes,199,2019 - 2022
"Using Current Events to Teach Written, Visual, and Oral Science Communication",https://doi.org/10.24918/cs.2021.15,Lesson,2021,Science Process Skills,"communication, scientific writing, storytelling, audience, current events",Yes,"several inclusive teaching practices are specifically included in this unit, with particular emphasis on techniques that align with indigenous ways of teaching and learning. these practices include place-based and student-chosen topics, small group work, close observation and emulation of modeled best-practices, visual and non-verbal learning, and storytelling. further, the unit leverages the diversity among students by providing multiple opportunities for every student in the class to share their work, thereby providing a voice to every student in the classroom. for students who are uncomfortable sharing in large group stings, we suggest opportunities for think-pair-share and written reflections",97,No,198,2019 - 2022
Breaking Bricks: A Hands-On Model of Enzyme Kinetics and Inhibition,https://doi.org/10.24918/cs.2021.16,Lesson,2021,"Biochemistry and Molecular Biology, Cell Biology,","kinetics, Enzyme, competitive inhibition",Yes,"this activity uses physical models and student participation, and instructors encourage all students to act out the part of enzymes. in addition, using familiar objects (plastic building bricks) as the substrates and a human action in place of the enzyme may make the concept of enzyme kinics more relatable and approachable. this simulation is performed in small groups, where students can play several roles in conducting the simulation (including timekeeper, data recorder, student ""enzyme"", or observer). therefore, this activity could be modified to allow differently-abled students to participate depending on their needs by having the instructor and/or student group members discuss how all students can be involved prior to beginning the simulation. for example, in one of our classes, we had a visually impaired student who enjoyed being the ""enzyme"" because this kinesthic activity doesn't require seeing the bricks.

this activity also provides multiple ways for students to answer questions about the material. when students comple the activity, they first answer questions in writing independently or in small groups, and then questions are discussed orally as a larger group. this technique allows all students to have the opportunity to participate. structured discussion of individual student responses to the post-activity conceptual questions also allows students to teach each other.
",207,No,197,2019 - 2022
A Fun Introductory Command Line Lesson: Next Generation Sequencing Quality Analysis with Emoji!,https://doi.org/10.24918/cs.2021.17,Lesson,2021,Bioinformatics,"bioinformatics, genomics, coding, Jupyter notebook, command line, CyVerse, scripting, next generation sequencing analysis",Yes,"to help students with diverse learning mhods achieve a comple understanding, lesson materials are presented in multiple ways: traditional lecture with visual aids combined with a group hands-on learning activity. the hands-on activity is supplemented with formative assessment questions in which students reflect on the activity to formulate answers based on their in-class analysis. furthermore, nation-wide survey data indicates that barriers to integrating bioinformatics into undergraduate life sciences curriculum are disproportionately greater to faculty teaching at minority-serving institutions (msis) compared to faculty at non-msis (4). this disparity increases the value of engaging stem undergraduates in computational bioinformatics, where there is evidence of a diversity gap. additionally, this lesson can be effectively implemented in a traditional in person lab as well as a synchronous or asynchronous online formatted course.
",128,No,196,2019 - 2022
Student-Driven Design-and-Improve Modules to Explore the Effect of Plant Bioactive Compounds in Three Model Organisms,https://doi.org/10.24918/cs.2021.18,Lesson,2021,"Introduction Biology,  Science Process Skills","statistics, Lab, CURE, Inquiry, research skills, caterpillar, daphnia, drugs, science process",Yes,"the lesson was developed with a strong emphasis on engagement and support of all students, regardless of level of preparation. the topic links easily to daily life, and students were encouraged to pursue ideas that were interesting to them and to bring materials from their home to test. structure with clear goals and support has been shown to particularly improve learning in students belonging to groups underrepresented in the sciences (26-28). to this end, the goals of achieving mastery in the different science processes in order to prepare them for future classes and careers were explicitly stated to students at the start of the semester (including in the syllabus, supporting file s1. bioactive compounds – syllabus) and when transitioning bween modules. that learning is a process and that skills build over time was also explicitly stated to the students in every lab session. the emphasis on growth was enacted in every class where students were provided with support and sufficient in-class time to plan their experiment, to learn to use excel, to make a graph, to perform statistical analysis, and to write up their work as a lab report and to prepare their presentation. the lab report was guided with built-in instructions for the individual elements (e.g., supporting file s12. bioactive compounds – module 1. lab 4. guided lab report). students had time to work on different parts of the lab report during class over several weeks. information needed to comple a task was provided before class as part of homework assignments. sessions started with a whole class discussion of daily tasks from the homework, followed by demonstration of any laboratory techniques. all assignments were considered formative: students were given feedback on how they might improve their work and then given the opportunity to make said improvements. since they used the same or similar skills over the course of the four modules, students had the opportunity to grow their skills and improve throughout the semester – and explicitly recognize that in self-reflections.

group work was also structured to support the success of all students centering around the principles of positive interdependence, individual accountability, and equal and simultaneous interaction (29). students were individually accountable by compling their own individual assignments that prepared them for a class session or as they learned new skills during class. being individually accountable at every stage of the research process prepared students to participate equally and productively during group interactions. group work relied on positive interdependence, as students needed each other both for the overall success of the project as well as for tasks that were complicated enough to elicit mutual need (29-31). specifically, students worked in groups of four for cognitively difficult tasks that benefit from multiple inputs such as planning the experiment or discussing experimental results. for performing the experiment or recording the results, students worked in smaller groups of two to allow both students to be fully engaged. for example, often both students worked on the experiment togher, while in other cases the two students had specific, complementary tasks of either compling or recording results. successful group interactions in this lesson were also supported by clear goals, tasks being highly relevant to the goal, and outcomes in the form of lab reports or presentations with multiple parts that clearly linked to future value in their science careers (31). active learning in general has been shown to support inclusive learning by all students (32). cures implemented early in the curriculum have been shown to improve scientific self-efficacy, identity, and student persistence in stem degrees among diverse students (11,33) and hold particular promise for underrepresented minority students (33-35).
",602,Yes,195,2019 - 2022
Design Your Own Flow Cytometry Experiment: A Four-Week Inquiry Laboratory,https://doi.org/10.24918/cs.2021.19,Lesson,2021,Immunology,"Immunology, experimental design, Flow cytometry, Mice",Yes,"this lesson provides students with an inquiry-driven activity, and as designed, each student pair is presented with an opportunity to design an experiment to test a different question. at the end of the four-week lab exercise, each student pair shares their data in the form of an oral presentation, making each group’s contribution of equal importance. using this format overcomes significant barriers and gives students an ability to see themselves and their peers as scientists (23). each student pair is required to adjust the given protocol to carry out the experiment they design, troubleshooting any problems they encounter as if they were working in a research laboratory. this approach encourages the less-vocal students to actively participate in figuring out how to successfully comple the laboratory exercises (24). students help each other, which leads to minimal instructor intervention. for both the written lab report and in-class oral presentation, students continue to work with their lab partner, which functions to reduce writing and presentation anxiy. an additional element that enhances lab performance is how the students pair up with each other. at the beginning of the semester, students are free to choose their partner. since this lab activity is towards the end of the semester, the student pairs have worked togher in many lab exercises and have developed an excellent rapport with each other. furthermore, every student has access to the same time and resources throughout the activity ensuring that no students have a preparation advantage. to increase the inclusivity of this lesson, instructors who do not have the resources at their institution or training to comple this full lesson are encouraged to read the potential modifications section below to see how the lesson can be adjusted to fit their circumstance.
",289,Yes,194,2019 - 2022
Assessing in vivo Antimicrobial Activity Through the Analysis of Galleria mellonella Kaplan-Meier Plots,https://doi.org/10.24918/cs.2021.20,Lesson,2021,Microbiology,"Antimicrobial Testing, Antimicrobials, Invertebrate animal models",Yes,"students do not have to pursue a career in the life sciences or allied health studies in order to benefit from the thematic nature of the exercise. the lesson is presented using a variy of modalities that benefit a variy of learners (lecture and case study). to provide representation, the selected manuscripts highlight scientist of diverse backgrounds in antimicrobial research. student choice is supported by allowing students to choose their microbe and or compound. the format of the lesson encourages students to discuss their ideas with their peers allowing students to see different perspectives on the topics discussed. this lesson also emphasizes critical thinking, writing, and provides students with an opportunity to practice data analysis. more importantly, this is an exercise that does not require technical experience, expensive specialized laboratory equipment for its execution, and can be compled in person or online, making it readily accessible for a variy of instructional modalities, especially within resource-limited institutions.
",156,No,193,2019 - 2022
"""Got Algae?"" A Sorting Game for Introducing the Weird and Wonderful Diversity of Algae",https://doi.org/10.24918/cs.2021.21,Lesson,2021,"Ecology, Evolution, Plant Biology","phylogeny, Biodiversity, photosynthesis, algae, seaweed, monophyly",Yes,"the lesson begins by inviting students to contribute their prior knowledge and experiences with algae, for which there is no ""wrong"" answer and all contributions are welcome. throughout the lesson, students are asked to discuss, debate and build consensus with their peers in group work and whole-class discussion. several different activity types are used, including sorting tasks, clicker questions and drawing, accommodating different learning preferences. students are asked to work in groups, however, students who indicate they strongly prefer to work independently are allowed to do so. overall, the lesson is intensely active, which has been shown to reduce the achievement gap for underrepresented students in stem (29).
",108,Yes,192,2019 - 2022
Converting a Face-to-Face Lab to Online: An Example of Process and Outcomes for a CRISPR-Based Molecular Biology Lab,https://doi.org/10.24918/cs.2021.22,Teaching Tools and Strategies,2021,"Genetics, Science Process Skills","mutation, transcription, crispr, translation",Yes,"highly structured courses have the potential to be more inclusive (12). this online lab course is highly-structured because it contains prelab learning with opportunities for feedback, frequent feedback on thinking and writing in the form of laboratory notebooks, peer-instruction during lab sessions, multiple summative assessments, and opportunities to demonstrate mastery in multiple modes, including writing, take-home tests, as well as oral presentations. providing students with the opportunity to frequently work at their own pace ensures that those who need differing amounts of time with material have this access (see comments about take-home tests in ""assessment""). also, accommodating students who have unavoidable conflicts with live video conferencing lab sessions is important in creating an inclusive environment. we emphasized flexibility in this course, encouraging students to participate in the live lab sessions as often as they could but accommodating when they could not (over 90% of students were in the live sessions, all quarter long). we allowed for missed sessions and time to make-up missed lab notebook entries when inevitable conflicts arose such as sick family members or students, work conflicts (some students picked up extra shifts to supplement their family's income), anxiy and depression exacerbated as a result of the pandemic and civil uprising. many of us took a mastery approach to grading, e.g., weighting the lowest scoring take-home quiz lower than the highest scoring quiz, and using a score of 85% or higher on lower stakes items as a cutoff for full points.

when creating lab discussion breakout groups, some instructors created groups to ensure that there were no gender imbalances or, for example, one student from a traditionally under-represented background being the only under-represented student in their group. some instructors randomly assigned groups each week, providing opportunities for students to me more peers and be exposed to more diverse ways of thinking and working. further, assigning roles to different group members each week ensured that all students had opportunities to speak, report, and be heard by their peers.

lastly, providing opportunities to engage in a lab course online may increase accessibility for students who normally are unable to participate because of disability, geography, or other constraints. for this reason, it may be worth considering offering online versions of a lab course even when instruction rurns face-to-face.
",375,No,191,2019 - 2022
