it_tokens_2w,n.x,...3,,
biological safety,1,NA,,
biological specimens,1,NA,,
black african,1,JEDI,,
black kidney,1,JEDI,,
black native,1,JEDI,,
black patients,1,JEDI,,
blind students,1,JEDI,,
book living,1,NA,,
brainstorm promotes,1,JEDI,,
brief reflective,1,JEDI,,
brightly colored,1,NA,,
bring disengaged,1,JEDI,,
brings together,1,JEDI,,
broaden engagement,1,JEDI,,
broadening participation,1,JEDI,,
broadens participation,1,JEDI,,
broader interests,1,JEDI,,
broader perspective,1,JEDI,,
broadly meaningful,1,JEDI,,
brought together,1,JEDI,,
browser students,1,NA,,
build communities,1,JEDI,,
build community,1,JEDI,,
build confidence,1,JEDI,,
building students,1,JEDI,,
builds confidence,1,JEDI,,
burrows collaboration,1,JEDI,,
cajete mentions,1,NA,,
call students,1,JEDI,,
can actively,1,JEDI,,
can empower,1,JEDI,,
can envision,1,JEDI,,
can foster,1,JEDI,,
can fully,1,JEDI,,
can invite,1,JEDI,,
can promote,1,JEDI,,
can stigmatize,1,JEDI,,
can visualize,1,JEDI,,
cancer african,1,JEDI,,
cancer treatment,1,NA,,
cancer white,1,JEDI,,
capabilities expressed,1,NA,,
caption feature,1,JEDI,,
captionists depending,1,JEDI,,
captions students,1,JEDI,,
career interest,1,JEDI,,
carefully analyzed,1,NA,,
carefully selected,1,NA,,
caring way,1,JEDI,,
case together,1,JEDI,,
cases students,1,JEDI,,
caucasian americans,1,JEDI,,
caucasian cystic,1,JEDI,,
caucasian men,1,JEDI,,
caucasian women,1,JEDI,,
cell division,1,NA,,
cellular diversity,1,NA,,
centered active,1,JEDI,,
central american,1,JEDI,,
certain disabilities,1,JEDI,,
certain students,1,JEDI,,
certain visual,1,JEDI,,
chair accessible,1,JEDI,,
chair arrangements,1,JEDI,,
challenge students,1,JEDI,,
challenging particularly,1,JEDI,,
challenging phenomena,1,NA,,
changing screen,1,NA,,
chemical equipment,1,NA,,
chinese miner,1,JEDI,,
choice udl,1,JEDI,,
choose gratitude,1,JEDI,,
citizen potawatomi,1,JEDI,,
class active,1,JEDI,,
class assessments,1,NA,,
class assignment,1,NA,,
class assignments,1,NA,,
class collaboration,1,JEDI,,
class helps,1,JEDI,,
class individual,1,NA,,
class participate,1,JEDI,,
class participates,1,JEDI,,
class poverty,1,JEDI,,
class value,1,JEDI,,
classes incorporated,1,NA,,
classist ideologies,1,JEDI,,
classmates diversity,1,JEDI,,
classroom active,1,JEDI,,
classroom additionally,1,NA,,
classroom alternatively,1,NA,,
classroom collaboration,1,JEDI,,
classroom equity,1,JEDI,,
classroom friendly,1,JEDI,,
classroom participation,1,JEDI,,
classroom students,1,NA,,
clear assessment,1,NA,,
clearly visible,1,JEDI,,
close caption,1,JEDI,,
closed captioned,1,JEDI,,
closed captioning,1,JEDI,,
closed captions,1,JEDI,,
cluster students,1,JEDI,,
coast students,1,NA,,
coelacanth specimen,1,NA,,
cognition engagement,1,JEDI,,
cognitive cultural,1,JEDI,,
cognitive development,1,JEDI,,
cohesive team,1,JEDI,,
collaborate better,1,JEDI,,
collaborate share,1,JEDI,,
collaborated across,1,JEDI,,
collaboration can,1,JEDI,,
collaboration occurs,1,JEDI,,
collaboration peer,1,JEDI,,
collaboration skills,1,JEDI,,
collaboration throughout,1,JEDI,,
collaboration using,1,JEDI,,
collaborative annotation,1,JEDI,,
collaborative discussion,1,JEDI,,
collaborative easing,1,NA,,
collaborative endeavor,1,JEDI,,
collaborative exercise,1,JEDI,,
collaborative lab,1,JEDI,,
collaborative portion,1,JEDI,,
collaborative setting,1,JEDI,,
collaborative teaching,1,JEDI,,
collaborative teamwork,1,JEDI,,
collaborative yet,1,NA,,
collaboratively choose,1,JEDI,,
collaboratively throughout,1,JEDI,,
collect meaningful,1,JEDI,,
collect measurements,1,NA,,
collegial learning,1,JEDI,,
colonialism played,1,JEDI,,
colonialist assumptions,1,JEDI,,
color coded,1,NA,,
color coding,1,NA,,
color combinations,1,JEDI,,
color intensities,1,NA,,
color low,1,JEDI,,
coloration distinct,1,NA,,
coloration less,1,NA,,
colored eggs,1,NA,,
colors encourages,1,NA,,
comfort creative,1,JEDI,,
comfortable classroom,1,JEDI,,
comfortable contributing,1,JEDI,,
comfortable creating,1,JEDI,,
comfortable enough,1,JEDI,,
comfortable environment,1,JEDI,,
comfortable gave,1,JEDI,,
comfortable learning,1,JEDI,,
comfortable managing,1,JEDI,,
comfortable sharing,1,JEDI,,
comfortable speaking,1,JEDI,,
comic encourages,1,JEDI,,
comic helps,1,JEDI,,
commitments outside,1,JEDI,,
common interests,1,JEDI,,
communication enthusiasm,1,JEDI,,
communities demonstrates,1,JEDI,,
communities due,1,NA,,
communities engaging,1,JEDI,,
communities may,1,JEDI,,
communities reduce,1,JEDI,,
communities useful,1,JEDI,,
community among,1,JEDI,,
community building,1,JEDI,,
community classroom,1,JEDI,,
community guidelines,1,JEDI,,
community make,1,JEDI,,
community members,1,JEDI,,
community mind,1,JEDI,,
community outside,1,JEDI,,
community structure,1,JEDI,,
community students,1,JEDI,,
community within,1,JEDI,,
compelling illustrations,1,JEDI,,
complementary dimensions,1,NA,"NO. 171 - ""Dr. Cajete mentions that """"In Native American cultures, science and art are complementary dimensions of the community mind. This subtle yet profound relationship becomes apparent only when one focuses upon the processes of thought as opposed to its end products""",unsure
complementary nucleotide,1,NA,,
complementary tasks,1,JEDI,,
complete assignments,1,NA,,
complete hands,1,NA,,
completed assignment,1,NA,,
completed collaboratively,1,JEDI,,
completed individually,1,NA,,
completely public,1,NA,,
completing individual,1,NA,,
complimentary student,1,NA,,
component promotes,1,NA,,
components students,1,NA,,
comprehensive assignment,1,NA,,
computers smart,1,NA,,
comradery around,1,JEDI,,
concept reinforcement,1,NA,,
concerns particularly,1,NA,,
concrete tactile,1,JEDI,,
confident members,1,JEDI,,
confident students,1,JEDI,,
conflict management,1,JEDI,,
connected device,1,NA,,
connections across,1,JEDI,,
connections may,1,NA,,
connects students,1,JEDI,,
consensus encouraging,1,JEDI,,
consider socially,1,JEDI,,
considered cooperative,1,JEDI,,
considered inclusive,1,JEDI,,
considering developmental,1,JEDI,,
constant reinforcement,1,NA,"""I hope that my enthusiasm for the project and constant reinforcement of science as a collaborative endeavor translates to their own perceptions of how much to contribute to the collective group project.
""",unsure
constraints transportation,1,NA,,
consumption experiment,1,NA,,
contains equal,1,NA,,
contemporary family,1,JEDI,,
content fosters,1,NA,,
contexts students,1,JEDI,,
contribute individual,1,JEDI,,
contributing perspectives,1,JEDI,,
contribution equally,1,JEDI,,
controversial food,1,JEDI,,
controversial topics,1,JEDI,,
conversation everyone,1,JEDI,,
conversation within,1,JEDI,,
conversations dd,1,NA,,
convincing additionally,1,NA,,
cooperation students,1,JEDI,,
cooperative approach,1,JEDI,,
cooperative investigation,1,JEDI,,
cooperative nature,1,JEDI,,
cooperative scientific,1,JEDI,,
correct misconceptions,1,NA,,
counter treatments,1,NA,,
course encouraging,1,NA,,
course participate,1,NA,,
courses backgrounds,1,JEDI,,
courses democratizes,1,JEDI,,
courses implementing,1,JEDI,,
cpk colors,1,JEDI,,
create accountability,1,JEDI,,
create diverse,1,JEDI,,
create inclusive,1,JEDI,,
create opportunities,1,JEDI,,
create pictorial,1,JEDI,,
created collaboratively,1,JEDI,,
creating community,1,JEDI,,
creating opportunities,1,JEDI,,
creative commons,1,JEDI,,
creative cycle,1,JEDI,,
creative entryway,1,JEDI,,
creative students,1,JEDI,,
creative use,1,JEDI,,
creatively engage,1,JEDI,,
creativity students,1,JEDI,,
critical strategy,1,JEDI,,
critically think,1,JEDI,,
cross cultural,1,JEDI,,
culinary traditions,1,JEDI,,
cultivate divergent,1,JEDI,,
cultivate equity,1,JEDI,,
cultivate inclusivity,1,JEDI,,
cultivates social,1,JEDI,,
cultivating classroom,1,JEDI,,
cultivating inclusivity,1,JEDI,,
cultural component,1,JEDI,,
cultural contexts,1,JEDI,,
cultural dimensions,1,JEDI,,
cultural diversity,1,JEDI,,
cultural experiences,1,JEDI,,
cultural funds,1,JEDI,,
cultural gender,1,JEDI,,
cultural identity,1,JEDI,,
cultural knowledge,1,JEDI,,
cultural markers,1,JEDI,,
cultural philosophy,1,JEDI,,
cultural preconceived,1,JEDI,,
cultural relevance,1,JEDI,,
cultural science,1,JEDI,,
culturally distinct,1,JEDI,,
culturally driven,1,JEDI,,
culturally relevant,1,JEDI,,
cultured bacteria,1,NA,,
cultured samples,1,NA,,
cultures science,1,NA,,
cultures sequences,1,NA,,
cures implemented,1,JEDI,,CUREs!
curiosity student,1,JEDI,,
current biodiversity,1,NA,,
current diversity,1,JEDI,,
curricular commitment,1,NA,,
curricular needs,1,NA,,
cycle starts,1,NA,,
data encourage,1,NA,,
data individually,1,NA,,
data individuals,1,NA,,
data management,1,NA,,
dataset students,1,NA,,
decide together,1,JEDI,,
decision students,1,JEDI,,
decisions impacted,1,JEDI,,
decolonizing science,1,JEDI,,
decrease anxiety,1,JEDI,,
default friendly,1,JEDI,,
deficit perspective,1,JEDI,,
deficits equalizing,1,JEDI,,
defines culturally,1,JEDI,,
degree interests,1,JEDI,,
democratizes research,1,JEDI,,
demographic backgrounds,1,JEDI,,
demonstrate marginalized,1,JEDI,,
department although,1,NA,,
departments whether,1,NA,,
describing differences,1,JEDI,,
design diversity,1,JEDI,,
design element,1,NA,"""Students work in the same small groups throughout the term and physically sit in their groupâ€™s section of the room on group-work focused days. This design element allows students to develop camaraderie and familiarity with the same small group of students and their LA. "" - NO. 256",unsure
determine students,1,NA,,
developing inclusive,1,JEDI,,
developing outreach,1,JEDI,,
developing teamwork,1,JEDI,,
development especially,1,NA,,
development example,1,NA,,
development sessions,1,NA,,
development workshops,1,NA,,
developmental neurobiology,1,NA,,
developmental process,1,NA,,
developments within,1,NA,,
differences discussion,1,JEDI,,
differences race,1,JEDI,,
differences resulting,1,JEDI,,
different articles,1,NA,,
different attitudes,1,JEDI,,
different background,1,JEDI,,
different communities,1,JEDI,,
different contexts,1,JEDI,,
different living,1,JEDI,,
different members,1,JEDI,,
different parts,1,NA,,
different racial,1,JEDI,,
different starting,1,JEDI,,
different strengths,1,JEDI,,
different voices,1,JEDI,,
differing views,1,JEDI,,
difficult moments,1,JEDI,,
difficulty based,1,NA,,
difficulty levels,1,JEDI,"NO. 197 - ""Each mini-game asks questions of varying difficulty levels to meet individual students' needs"" ",unsure
difficulty since,1,NA,,
dimensional print,1,JEDI,"NO. 64 - ""Three dimensional print models are accessible to students with visual impairments, and additional diverse resources are engaged in written, audio, and visual formats""",
dimensional visual,1,JEDI,,
direct connection,1,JEDI,,
direct hands,1,NA,,
directly addresses,1,NA,,
directly promote,1,NA,,
directly visible,1,NA,"no. 128 - ""The model-based activity allows students to """"see"""" a dynamic molecular process that is not directly visible to them""",
disabilities benefit,1,JEDI,,
disabilities including,1,JEDI,,
disabilities particularly,1,JEDI,,
disabilities provide,1,JEDI,,
disabilities related,1,JEDI,,
disability geography,1,JEDI,,
disadvantage black,1,JEDI,,
disadvantaging students,1,JEDI,,
disciplinary interests,1,JEDI,,
discipline students,1,NA,,
discourage grouping,1,NA,note: discourage grouping by existing relationships or student ability.,unsure
discourages competition,1,JEDI,,
discuss diversity,1,JEDI,,
discussing experimental,1,NA,,
discussing social,1,JEDI,,
discussion engaging,1,JEDI,,
discussion hands,1,JEDI,,
discussion opportunities,1,JEDI,,
discussion starts,1,NA,,
discussions engaging,1,JEDI,,
disengaged students,1,JEDI,,
disparity increases,1,JEDI,,
disparity lack,1,JEDI,,
display diverse,1,JEDI,,
distinct strengths,1,JEDI,,
distractions udl,1,JEDI,,
divergent biological,1,NA,"note: ""Monitoring (your own and students’) behavior to cultivate divergent biological thinking” (16)
“Ask open-ended questions""",
diverse academic,1,JEDI,,
diverse assets,1,JEDI,,
diverse audience,1,JEDI,,
diverse cohort,1,JEDI,,
diverse communities,1,JEDI,,
diverse community,1,JEDI,,
diverse composition,1,JEDI,,
diverse contributing,1,JEDI,,
diverse demonstrators,1,JEDI,,
diverse experiences,1,JEDI,,
diverse expertise,1,JEDI,,
diverse face,1,JEDI,,
diverse forms,1,JEDI,,
diverse issues,1,JEDI,,
diverse lives,1,JEDI,,
diverse mixed,1,JEDI,,
diverse natural,1,JEDI,,
diverse opinions,1,JEDI,,
diverse participants,1,JEDI,,
diverse peer,1,JEDI,,
diverse physiological,1,NA,,
diverse points,1,JEDI,,
diverse race,1,JEDI,,
diverse racial,1,JEDI,,
diverse resources,1,JEDI,,
diverse skill,1,JEDI,,
diverse skills,1,JEDI,,
diverse spectrum,1,JEDI,,
diverse teaching,1,JEDI,,
diverse teams,1,JEDI,,
diverse views,1,JEDI,,
diversified groups,1,JEDI,,
diversify fields,1,JEDI,,
diversify group,1,JEDI,,
diversifying science,1,JEDI,,
diversity across,1,JEDI,,
diversity alternatively,1,JEDI,,
diversity dna,1,NA,,
diversity encourage,1,JEDI,,
diversity equity,1,JEDI,,
diversity increasing,1,JEDI,,
diversity inherent,1,JEDI,,
diversity may,1,JEDI,,
diversity particularly,1,JEDI,,
diversity provides,1,JEDI,,
diversity required,1,JEDI,,
diversity since,1,NA,,
diversity westernization,1,JEDI,,
divides labor,1,JEDI,,
division courses,1,JEDI,,
division electives,1,JEDI,,
division etc,1,NA,,
documentary based,1,JEDI,,
documentary created,1,JEDI,,
documenting group,1,JEDI,,
documents offer,1,NA,,
dominating conversation,1,JEDI,,
draw representations,1,JEDI,,
drawing accommodating,1,JEDI,,
drawing students,1,JEDI,,
drawings students,1,JEDI,,
drew portraits,1,JEDI,,
drift engaging,1,NA,,
drive motivation,1,JEDI,,
dynamics inclusive,1,JEDI,,
early perspectives,1,NA,note: early perspectives on the HIV pandemic from stigmatized LGBTQ individuals.,
earth system,1,NA,,
eases anxieties,1,JEDI,,
easily accessible,1,JEDI,,
easy access,1,JEDI,,
ecologically valuable,1,NA,,
economic barriers,1,JEDI,,
economic development,1,JEDI,,
economic disadvantages,1,JEDI,,
economically geographically,1,JEDI,,
economics majors,1,JEDI,,
educate underrepresented,1,JEDI,,
educational articles,1,NA,,
educational backgrounds,1,JEDI,,
educational equity,1,JEDI,,
educational needs,1,JEDI,,
educators students,1,NA,,
effective team,1,JEDI,,
effectively implemented,1,NA,,
efficacy identity,1,JEDI,,
either visual,1,NA,,
electronic instrument,1,NA,,
element allows,1,NA,,
element drawing,1,NA,,
elements focusing,1,NA,,
elements support,1,NA,"note: Peer instruction elements support engagement, student-appropriate language, and opportunities for questions.",
eliminate achievement,1,NA,,
email address,1,NA,,
emerging developments,1,NA,,
emphasize altruistic,1,NA,186: In the various assignments there are opportunities to emphasize altruistic applications of science by highlighting ways that the research can be used to improve the planet or society.,
emphasized flexibility,1,JEDI,,
emphasizes critical,1,JEDI,,
emphasizes diversity,1,NA,,
empower inclusive,1,JEDI,,
enables participation,1,JEDI,,
enabling participation,1,JEDI,,
encourage continued,1,NA,,
encourage cooperative,1,JEDI,,
encourage creative,1,JEDI,,
encourage discussion,1,JEDI,,
encourage engagement,1,JEDI,,
encourage equitable,1,JEDI,,
encourage group,1,JEDI,,
encourage groups,1,JEDI,,
encourage inclusion,1,JEDI,,
encourage inclusive,1,JEDI,,
encourage inclusivity,1,JEDI,,
encourage rubric,1,NA,,
encourage teamwork,1,JEDI,,
encouraged collaboration,1,JEDI,,
encouraged inclusive,1,JEDI,,
encourages active,1,JEDI,,
encourages courses,1,NA,,
encourages discussion,1,JEDI,,
encourages group,1,JEDI,,
encourages inclusive,1,JEDI,,
encourages inclusiveness,1,JEDI,,
encourages learning,1,JEDI,,
encourages multiple,1,JEDI,,
encourages peer,1,JEDI,,
encourages use,1,NA,,
encouraging collaboration,1,JEDI,,
encouraging creative,1,JEDI,,
encouraging feedback,1,JEDI,,
encouraging participation,1,JEDI,,
encouraging respect,1,JEDI,,
encouraging student,1,JEDI,,
encouraging words,1,JEDI,,
endeavor translates,1,NA,,
engage diverse,1,JEDI,,
engage independently,1,NA,,
engage undergraduate,1,JEDI,,
engaged students,1,JEDI,,
engagement including,1,NA,,
engagement leading,1,NA,,
engagement motivation,1,JEDI,,
engagement student,1,NA,,
engages every,1,JEDI,,
engages everyone,1,JEDI,,
engages multiple,1,JEDI,,
engaging community,1,JEDI,,
engaging final,1,NA,,
engaging stem,1,JEDI,,
engaging student,1,JEDI,,
engaging undergraduates,1,JEDI,,
england individual,1,NA,,
english deaf,1,JEDI,,
english speakers,1,JEDI,,
enhance engagement,1,JEDI,,
enhance equity,1,JEDI,,
enjoy kinesthetic,1,JEDI,,
enlightening refreshing,1,JEDI,,
enriching opportunity,1,JEDI,,
enrolled students,1,NA,,
enrollment courses,1,NA,,
enrollment numbers,1,NA,,
ensure everyone,1,JEDI,,
ensure impartial,1,JEDI,,
ensure inclusion,1,JEDI,,
ensure inclusiveness,1,JEDI,,
ensure inclusivity,1,JEDI,,
ensure individual,1,JEDI,,
ensure students,1,JEDI,,
ensured diversity,1,JEDI,,
ensured inclusion,1,JEDI,,
ensures equity,1,JEDI,,
ensuring equitable,1,JEDI,,
ensuring students,1,JEDI,,
enthusiasm pride,1,JEDI,,
enthusiastically pursue,1,JEDI,,
environment effective,1,JEDI,,
environment instructors,1,JEDI,,
environment open,1,JEDI,,
environment reiterates,1,NA,,
environment related,1,NA,,
environment suitable,1,NA,,
environmental burdens,1,NA,,
environmental conservation,1,NA,,
environmental factors,1,NA,,
environmental problems,1,NA,,
environmental social,1,JEDI,,
environmental sustainability,1,JEDI,,
environmental topic,1,NA,,
environmental topics,1,NA,,
equal footing,1,JEDI,,
equal importance,1,NA,,
equal level,1,JEDI,,
equal numbers,1,NA,,
equalize classroom,1,JEDI,,
equalizing student,1,JEDI,,
equally complex,1,NA,,
equally distributed,1,JEDI,,
equally diverse,1,JEDI,,
equally important,1,NA,,
equally valuable,1,JEDI,,
equipment clothing,1,NA,,
equitable collaboration,1,JEDI,,
equitable contributions,1,JEDI,,
equitable group,1,JEDI,,
equitable opportunity,1,JEDI,,
equitable option,1,JEDI,,
equity public,1,JEDI,,
equity studies,1,JEDI,,
equity within,1,JEDI,,
essays students,1,JEDI,,
ethic given,1,NA,,
ethical discussion,1,JEDI,,
ethical implications,1,JEDI,,
ethical value,1,JEDI,,
ethnic economic,1,JEDI,,
ethnic groups,1,JEDI,,
ethnic variations,1,JEDI,,
ethnicity according,1,JEDI,,
ethnicity completed,1,NA,,
ethnicity religion,1,JEDI,,
evaluation individuals,1,NA,,
even creativity,1,NA,,
evenly divides,1,JEDI,,
event students,1,NA,,
every participant,1,JEDI,,
everyone becomes,1,JEDI,,
everyone differently,1,JEDI,,
everyone even,1,NA,,
everyone shares,1,JEDI,,
everyone supporting,1,JEDI,,
evolutionary relationships,1,NA,,
example participating,1,NA,,
example visual,1,JEDI,,
excellent opportunity,1,NA,,
excellent rapport,1,JEDI,,
exchange students,1,JEDI,,
exchanging views,1,JEDI,,
excises additionally,1,NA,,
exclusion see,1,NA,,
exercise differences,1,NA,,
exercise encourages,1,JEDI,,
exercises encourages,1,JEDI,,
exercises students,1,NA,,
existing diversity,1,NA,"note: the course content fosters appreciation for the value of existing diversity in a population for the overall fitness of that species.
",
existing relationships,1,JEDI,,
expensive bioinformatics,1,NA,,
expensive computer,1,NA,,
expensive specialized,1,NA,,
experience accessible,1,JEDI,,
experience expensive,1,JEDI,,
experience individuals,1,NA,,
experience specimens,1,NA,,
experiences participation,1,JEDI,,
experiences promotes,1,JEDI,,
experiential diversity,1,NA,,
experiment can,1,NA,,
experiment encouraging,1,NA,,
experiment portion,1,NA,,
experiment predicted,1,NA,,
experiment students,1,NA,,
experiment together,1,JEDI,,
experimental approaches,1,JEDI,,
experimental designs,1,NA,,
experimental outlines,1,NA,,
experimental procedures,1,NA,,
experimental protocol,1,NA,,
experimental question,1,NA,,
experimental questions,1,NA,,
experimental setup,1,NA,,
experimentation end,1,NA,,
experiments due,1,NA,,
experiments giving,1,NA,,
experiments prompting,1,NA,,
expertise team,1,NA,,
explicit articulated,1,NA,,
explicit connections,1,JEDI,,
explicitly address,1,JEDI,,
explicitly addresses,1,JEDI,,
explicitly welcomed,1,JEDI,,
exploits multiple,1,JEDI,,
explore socio,1,JEDI,,
exploring differences,1,NA,note:  2) also provide opportunities for exploring differences that exist in how biologists and non-biologists may define or think about sex (i.e. definitions of maleness and femaleness).,
express agency,1,JEDI,,
express diverse,1,JEDI,,
extend students,1,NA,,
extracurricular pressures,1,NA,,
extreme anxiety,1,JEDI,,
extremely inclusive,1,JEDI,,
extroversion spectrum,1,JEDI,,
facilitate connections,1,JEDI,,
facilitate interaction,1,JEDI,,
facilitate meaningful,1,JEDI,,
facilitated introductions,1,JEDI,,
facilitates inclusive,1,JEDI,,
facilitates participation,1,JEDI,,
facilitating transfer,1,JEDI,,
facilitator recorder,1,JEDI,,
facilitator role,1,JEDI,,
factors students,1,NA,,
faculty access,1,JEDI,,
faculty development,1,JEDI,,
fafsa applicants,1,JEDI,,
failure patients,1,NA,,
failure rate,1,NA,,
failure supports,1,NA,,
fair access,1,JEDI,,
fair biology,1,JEDI,,
fair classroom,1,JEDI,,
familiarizing students,1,NA,,
family commitments,1,JEDI,,
family member,1,JEDI,,
family members,1,JEDI,,
family needs,1,JEDI,,
family obligations,1,JEDI,,
family therefore,1,JEDI,,
fatherless snake,1,NA,,
fatigue can,1,NA,,
favorable attitudes,1,JEDI,,
feel imposter,1,JEDI,,
feel welcomed,1,JEDI,,
feeling isolated,1,JEDI,,
feeling like,1,JEDI,,
feeling prepared,1,JEDI,,
feels valued,1,JEDI,,
felt comfortable,1,JEDI,,
female meaning,1,JEDI,,
females tend,1,JEDI,,
ferpa regulations,1,JEDI,,
fibrosis patients,1,NA,,
field equipment,1,NA,,
field students,1,NA,,
fields implementation,1,NA,,
fieldwork alternative,1,JEDI,,
file transfers,1,NA,,
filipino hmong,1,JEDI,,
final assessment,1,NA,,
financial limitations,1,JEDI,,
financial resources,1,JEDI,,
find identity,1,JEDI,,
find interesting,1,JEDI,,
findings screening,1,NA,,
fine arts,1,JEDI,,
first although,1,NA,,
first collaborative,1,JEDI,,
first sharing,1,JEDI,,
first students,1,NA,,
fittest alternatively,1,NA,,
fitting assignment,1,NA,,
flowchart means,1,NA,,
following differences,1,JEDI,,
food supplement,1,NA,,
force students,1,NA,,
form diverse,1,JEDI,,
form teams,1,JEDI,,
formally documenting,1,NA,,
format encourages,1,NA,,
formative students,1,NA,,
former students,1,NA,,
foster collaboration,1,JEDI,,
foster collaborative,1,JEDI,,
foster discussion,1,JEDI,,
foster learning,1,JEDI,,
foster peer,1,JEDI,,
foster student,1,JEDI,,
fostered inclusivity,1,JEDI,,
fostering high,1,JEDI,,
fostering inclusive,1,JEDI,,
fosters appreciation,1,JEDI,,
fosters inclusive,1,JEDI,,
found exciting,1,JEDI,,
four assignment,1,NA,,
four individuals,1,NA,,
four members,1,NA,,
four parts,1,NA,,
free access,1,JEDI,,
freely additionally,1,NA,,
frequencies historically,1,NA,,
frequently mention,1,NA,,
friendly attention,1,JEDI,,
friendly internet,1,NA,,
friends families,1,JEDI,,
full participation,1,JEDI,,
fully appreciate,1,JEDI,,
fully engaged,1,JEDI,,
fully identify,1,JEDI,,
fully using,1,NA,,
fun together,1,JEDI,,
fundamental concepts,1,NA,,
fundamentally explore,1,NA,,
furthermore participating,1,NA,,
future experiments,1,NA,,
future value,1,JEDI,,
gain access,1,JEDI,,
gain awareness,1,JEDI,,
gain confidence,1,JEDI,,
gain visibility,1,JEDI,,
gained additionally,1,NA,,
gained agency,1,JEDI,,
gaining confidence,1,JEDI,,
games females,1,NA,,
games particularly,1,NA,,
gap additionally,1,NA,,
gateway introductory,1,JEDI,,
gay defines,1,NA,,
gender area,1,NA,,
gender bias,1,JEDI,,
gender disability,1,JEDI,,
gender etc,1,JEDI,,
gender ethnicity,1,JEDI,,
gender gap,1,JEDI,,
gender graduation,1,JEDI,,
gender imbalances,1,JEDI,,
gender interest,1,JEDI,,
gender non,1,JEDI,,
gendered pronouns,1,JEDI,,
general active,1,NA,,
general inclusive,1,JEDI,,
general introversion,1,JEDI,,
general public,1,JEDI,,
generalization udl,1,JEDI,,
generally promoted,1,JEDI,,
generation status,1,JEDI,,
genetic differences,1,NA,,
genetic predisposition,1,NA,,
geneva gay,1,JEDI,,
genotypic sex,1,JEDI,,
get started,1,NA,,
given assignments,1,NA,,
giving assessments,1,NA,,
global communities,1,JEDI,,
government statements,1,NA,,
grant access,1,JEDI,,
granted access,1,JEDI,,
granting equal,1,JEDI,,
greater community,1,JEDI,,
green colorblindness,1,JEDI,,
group arrangements,1,JEDI,,
group assignments,1,JEDI,,
group collaboration,1,JEDI,,
group conversations,1,JEDI,,
group efficacy,1,JEDI,,
group hands,1,NA,,
group hispanic,1,JEDI,,
group leader,1,JEDI,,
group participants,1,JEDI,,
group partners,1,JEDI,,
group together,1,JEDI,,
groups accomplishments,1,JEDI,,
groups additionally,1,NA,,
groups individuals,1,NA,,
groups participated,1,JEDI,,
groups promotes,1,JEDI,,
groups start,1,NA,,
groups underrepresented,1,JEDI,,
guides focused,1,NA,,
guides provides,1,JEDI,,
guides students,1,JEDI,,
hand students,1,NA,,
handle cultured,1,NA,,
handling cultured,1,NA,,
harmful stereotypes,1,JEDI,,
health infrastructure,1,JEDI,,
health initiatives,1,JEDI,,
health institutions,1,NA,,
health laboratories,1,NA,,
health literacy,1,JEDI,,
health outcomes,1,JEDI,,
health professional,1,JEDI,,
health statistics,1,JEDI,,
health students,1,JEDI,,
health studies,1,JEDI,,
health time,1,NA,,
healthcare can,1,NA,,
healthcare contexts,1,JEDI,,
healthcare disparities,1,JEDI,,
healthcare facilities,1,NA,,
healthier lifestyles,1,JEDI,,
healthy additionally,1,NA,,
healthy foods,1,NA,,
healthy individuals,1,JEDI,,
healthy living,1,JEDI,,
hear perspectives,1,JEDI,,
hearing impaired,1,JEDI,,
hearing students,1,JEDI,,
heart cell,1,NA,,
heart defects,1,NA,,
help address,1,NA,,
help diversify,1,JEDI,,
help women,1,JEDI,,
helps build,1,JEDI,,
helps facilitate,1,JEDI,,
helps increase,1,NA,,
helps make,1,NA,,
helps shy,1,NA,,
helps speak,1,JEDI,,
helps teachers,1,JEDI,,
heteronormative behaviors,1,JEDI,,
hidden identities,1,JEDI,,
high impact,1,JEDI,,
higher healthcare,1,NA,,
highly diverse,1,JEDI,,
highly recommend,1,NA,,
hire migrants,1,JEDI,,
hispanic latino,1,JEDI,,
hispanic latinx,1,JEDI,,
historic barriers,1,JEDI,,
historical connections,1,JEDI,,
historical context,1,JEDI,,
historical events,1,JEDI,,
historical information,1,JEDI,,
historical materials,1,NA,,
historical site,1,JEDI,,
hiv particles,1,NA,,
hmong vietnamese,1,JEDI,,
hold particular,1,NA,,
hold perspectives,1,JEDI,,
hope students,1,JEDI,,
however students,1,NA,,
human action,1,JEDI,,
human activity,1,JEDI,,
human dimensions,1,JEDI,,
human disease,1,JEDI,,
human earwax,1,NA,,
human experiences,1,JEDI,,
human genomes,1,NA,,
human interest,1,JEDI,,
human life,1,JEDI,,
human sex,1,JEDI,,
human studies,1,JEDI,,
humanity prior,1,JEDI,,
humanize researchers,1,JEDI,,
humans around,1,JEDI,,
humans can,1,JEDI,,
hydroelectric development,1,NA,,
ideal experimental,1,NA,,
ideas additionally,1,NA,,
ideas individual,1,JEDI,,
ideas students,1,JEDI,,
identified alternatively,1,NA,,
identified personality,1,NA,,
identify diversity,1,JEDI,,
identify misconceptions,1,JEDI,,
identities diversity,1,JEDI,,
identity plays,1,JEDI,,
identity safe,1,JEDI,,
illustrates cultural,1,JEDI,,
illustrations make,1,NA,,
image alt,1,JEDI,,
impact active,1,JEDI,,
impact students,1,JEDI,,
impactful method,1,JEDI,,
impaired cognitive,1,NA,,
